"","FROM","TO","REGION.TO","REGION.FROM","value"
"1","Aracajú","Aracajú","Northeast","Northeast","0"
"2","Aracajú","Belém","North","Northeast","1641"
"3","Aracajú","Belo Horizonte","Southeast","Northeast","1248"
"4","Aracajú","Boa Vista","North","Northeast","3022"
"5","Aracajú","Brasília","Midwest","Northeast","1292"
"6","Aracajú","Campo Grande","Midwest","Northeast","2155"
"7","Aracajú","Cuiabá","Midwest","Northeast","2121"
"8","Aracajú","Curitiba","South","Northeast","2061"
"9","Aracajú","Florianópolis","South","Northeast","2207"
"10","Aracajú","Fortaleza","Northeast","Northeast","815"
"11","Aracajú","Goiânia","Midwest","Northeast","1461"
"12","Aracajú","João Pessoa","Northeast","Northeast","486"
"13","Aracajú","Macapá","North","Northeast","1967"
"14","Aracajú","Maceió","Northeast","Northeast","201"
"15","Aracajú","Manaus","North","Northeast","2673"
"16","Aracajú","Natal","Northeast","Northeast","604"
"17","Aracajú","Palmas","Midwest","Northeast","1235"
"18","Aracajú","Porto Alegre","South","Northeast","2580"
"19","Aracajú","Porto Velho","North","Northeast","2946"
"20","Aracajú","Recife","Northeast","Northeast","398"
"21","Aracajú","Rio Branco","North","Northeast","3359"
"22","Aracajú","R. Janeiro","Southeast","Northeast","1482"
"23","Aracajú","Salvador","Northeast","Northeast","277"
"24","Aracajú","São Luis","Northeast","Northeast","1226"
"25","Aracajú","São Paulo","Southeast","Northeast","1731"
"26","Aracajú","Teresina","Northeast","Northeast","903"
"27","Aracajú","Vitória","Southeast","Northeast","1102"
"28","Belém","Aracajú","Northeast","North","1641"
"29","Belém","Belém","North","North","0"
"30","Belém","Belo Horizonte","Southeast","North","2111"
"31","Belém","Boa Vista","North","North","1432"
"32","Belém","Brasília","Midwest","North","1592"
"33","Belém","Campo Grande","Midwest","North","2212"
"34","Belém","Cuiabá","Midwest","North","1778"
"35","Belém","Curitiba","South","North","2665"
"36","Belém","Florianópolis","South","North","2904"
"37","Belém","Fortaleza","Northeast","North","1133"
"38","Belém","Goiânia","Midwest","North","1693"
"39","Belém","João Pessoa","Northeast","North","1636"
"40","Belém","Macapá","North","North","329"
