from,to,sum_value
North,Northeast,2252.06349206349
Southeast,Northeast,1755.97222222222
Midwest,Northeast,1933.16666666667
South,Northeast,2607.74074074074
Northeast,North,2252.06349206349
Southeast,North,2551.71428571429
Midwest,North,1783.92857142857
South,North,2831.7619047619
Northeast,Southeast,1755.97222222222
North,Southeast,2551.71428571429
Midwest,Southeast,1096.4375
South,Southeast,927.583333333333
Northeast,Midwest,1933.16666666667
North,Midwest,1783.92857142857
Southeast,Midwest,1096.4375
South,Midwest,1260.66666666667
Northeast,South,2607.74074074074
North,South,2831.7619047619
Southeast,South,927.583333333333
Midwest,South,1260.66666666667
