from,to,sum_value
North,Northeast,4172.59259259259
Southeast,Northeast,2270.66666666667
Midwest,Northeast,2587.83333333333
South,Northeast,3374.59259259259
Northeast,North,4172.59259259259
Southeast,North,3544.79166666667
Midwest,North,2594.16666666667
South,North,3782.38888888889
Northeast,Southeast,2270.66666666667
North,Southeast,3544.79166666667
Midwest,Southeast,1366.4375
South,Southeast,1223.83333333333
Northeast,Midwest,2587.83333333333
North,Midwest,2594.16666666667
Southeast,Midwest,1366.4375
South,Midwest,1605.83333333333
Northeast,South,3374.59259259259
North,South,3782.38888888889
Southeast,South,1223.83333333333
Midwest,South,1605.83333333333
