"","FROM","TO","REGION.TO","REGION.FROM","value"
"1","Aracajú","Aracajú","Northeast","Northeast","0"
"2","Aracajú","Belém","North","Northeast","2079"
"3","Aracajú","Belo Horizonte","Southeast","Northeast","1578"
"4","Aracajú","Boa Vista","North","Northeast","6000"
"5","Aracajú","Brasília","Midwest","Northeast","1652"
"6","Aracajú","Campo Grande","Midwest","Northeast","2765"
"7","Aracajú","Cuiabá","Midwest","Northeast","2775"
"8","Aracajú","Curitiba","South","Northeast","2595"
"9","Aracajú","Florianópolis","South","Northeast","2892"
"10","Aracajú","Fortaleza","Northeast","Northeast","1183"
"11","Aracajú","Goiânia","Midwest","Northeast","1848"
"12","Aracajú","João Pessoa","Northeast","Northeast","611"
"13","Aracajú","Macapá","North","Northeast",NA
"14","Aracajú","Maceió","Northeast","Northeast","294"
"15","Aracajú","Manaus","North","Northeast","5215"
"16","Aracajú","Natal","Northeast","Northeast","788"
"17","Aracajú","Palmas","Midwest","Northeast","1662"
"18","Aracajú","Porto Alegre","South","Northeast","3296"
"19","Aracajú","Porto Velho","North","Northeast","4230"
"20","Aracajú","Recife","Northeast","Northeast","501"
"21","Aracajú","Rio Branco","North","Northeast","4763"
"22","Aracajú","R. Janeiro","Southeast","Northeast","1855"
"23","Aracajú","Salvador","Northeast","Northeast","356"
"24","Aracajú","São Luis","Northeast","Northeast","1578"
"25","Aracajú","São Paulo","Southeast","Northeast","2187"
"26","Aracajú","Teresina","Northeast","Northeast","1142"
"27","Aracajú","Vitória","Southeast","Northeast","1408"
"28","Belém","Aracajú","Northeast","North","2079"
"29","Belém","Belém","North","North","0"
"30","Belém","Belo Horizonte","Southeast","North","2824"
"31","Belém","Boa Vista","North","North","6083"
"32","Belém","Brasília","Midwest","North","2120"
"33","Belém","Campo Grande","Midwest","North","2942"
"34","Belém","Cuiabá","Midwest","North","2941"
"35","Belém","Curitiba","South","North","3193"
"36","Belém","Florianópolis","South","North","3500"
"37","Belém","Fortaleza","Northeast","North","1610"
"38","Belém","Goiânia","Midwest","North","2017"
"39","Belém","João Pessoa","Northeast","North","2161"
"40","Belém","Macapá","North","North",NA
"41","Belém","Maceió","Northeast","North","2173"
"42","Belém","Manaus","North","North","5298"
"43","Belém","Natal","Northeast","North","2108"
"44","Belém","Palmas","Midwest","North","1283"
"45","Belém","Porto Alegre","South","North","3852"
"46","Belém","Porto Velho","North","North","4397"
"47","Belém","Recife","Northeast","North","2074"
"48","Belém","Rio Branco","North","North","4931"
"49","Belém","R. Janeiro","Southeast","North","3250"
"50","Belém","Salvador","Northeast","North","2100"
"51","Belém","São Luis","Northeast","North","806"
"52","Belém","São Paulo","Southeast","North","2933"
"53","Belém","Teresina","Northeast","North","947"
"54","Belém","Vitória","Southeast","North","3108"
"55","Belo Horizonte","Aracajú","Northeast","Southeast","1578"
"56","Belo Horizonte","Belém","North","Southeast","2824"
"57","Belo Horizonte","Belo Horizonte","Southeast","Southeast","0"
